### Generated by the command:
### src/extract_conll.py en ./data ./splits -j statuses.json -ls tok:g sem:g
# newdoc id = p02/d0010
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = A girl is styling her hair
# raw sent = He promised to come, but he didn't come.
He	He	PRO
promised	promised	EPS
to	to	NIL
come	come	EXS
,	,	NIL
but	but	BUT
he	he	PRO
did	did	PST
n't	n't	NOT
come	come	EXS
.	.	NIL

# newdoc id = p02/d2081
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = The bank has loaned the company $1,000,000.
The	The	DEF
bank	bank	CON
has	has	NOW
loaned	loaned	EXT
the	the	DEF
company	company	CON
$	$	UOM
1,000,000	1,000,000	QUC
.	.	NIL

# newdoc id = p02/d2086
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Tom has never heard Mary speak French.
Tom	Tom	PER
has	has	NOW
never	never	NOT
heard	heard	EXT
Mary	Mary	PER
speak	speak	ENS
French	French	CON
.	.	NIL

# newdoc id = p02/d2102
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = It's hidden under the bed.
It	It	PRO
's	's	NOW
hidden	hidden	EXS
under	under	REL
the	the	DEF
bed	bed	CON
.	.	NIL

# newdoc id = p02/d2114
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Farting is rude.
Farting	Farting	EXG
is	is	NOW
rude	rude	IST
.	.	NIL

# newdoc id = p02/d2121
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = The war wasted the country.
The	The	DEF
war	war	CON
wasted	wasted	EPS
the	the	DEF
country	country	CON
.	.	NIL

# newdoc id = p02/d2123
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = How many people died?
How	How	QUE
many	many	QUV
people	people	CON
died	died	EPS
?	?	QUE

# newdoc id = p02/d2130
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = You all are Swedish.
You	You	PRO
all	all	AND
are	are	NOW
Swedish	Swedish	GPO
.	.	NIL

# newdoc id = p02/d2133
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Tom won't speak to anybody.
Tom	Tom	PER
wo	wo	FUT
n't	n't	NOT
speak	speak	EXS
to	to	REL
anybody	anybody	DIS
.	.	NIL

# newdoc id = p02/d2162
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Tom didn't break any laws.
Tom	Tom	PER
did	did	PST
n't	n't	NOT
break	break	EXS
any	any	DIS
laws	laws	CON
.	.	NIL

# newdoc id = p02/d2176
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = She wants it.
She	She	PRO
wants	wants	ENS
it	it	PRO
.	.	NIL

# newdoc id = p02/d2179
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = It looks like a UFO.
It	It	PRO
looks	looks	ENS
like	like	REL
a	a	DIS
UFO	UFO	CON
.	.	NIL

# newdoc id = p02/d2180
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = I'm a friend of Tom and Mary's.
I	I	PRO
'm	'm	ENS
a	a	DIS
friend	friend	ROL
of	of	REL
Tom	Tom	PER
and	and	GRP
Mary	Mary	PER
's	's	NIL
.	.	NIL

# newdoc id = p02/d2207
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Tom isn't famous.
Tom	Tom	PER
is	is	NOW
n't	n't	NOT
famous	famous	IST
.	.	NIL

# newdoc id = p02/d2208
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = I drank the wine.
I	I	PRO
drank	drank	EPS
the	the	DEF
wine	wine	CON
.	.	NIL

# newdoc id = p02/d2210
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Lambs are very cute.
Lambs	Lambs	CON
are	are	NOW
very	very	INT
cute	cute	IST
.	.	NIL

# newdoc id = p02/d2216
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = I'm not a lesbian.
I	I	PRO
'm	'm	ENS
not	not	NOT
a	a	DIS
lesbian	lesbian	ROL
.	.	NIL

# newdoc id = p02/d2217
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = He speaks five languages.
He	He	PRO
speaks	speaks	ENS
five	five	QUC
languages	languages	CON
.	.	NIL

# newdoc id = p02/d2227
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = I do a training at Ford.
I	I	PRO
do	do	ENS
a	a	DIS
training	training	CON
at	at	REL
Ford	Ford	ORG
.	.	NIL

# newdoc id = p02/d2235
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Do you have Beethoven?
Do	Do	NOW
you	you	PRO
have	have	EXS
Beethoven	Beethoven	CON
?	?	QUE

# newdoc id = p02/d2236
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Maybe Tom kissed Mary.
Maybe	Maybe	POS
Tom	Tom	PER
kissed	kissed	EPS
Mary	Mary	PER
.	.	NIL

# newdoc id = p02/d2243
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = I broke my right leg.
I	I	PRO
broke	broke	EPS
my	my	HAS
right	right	IST
leg	leg	CON
.	.	NIL

# newdoc id = p02/d2256
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = I envy you.
I	I	PRO
envy	envy	ENS
you	you	PRO
.	.	NIL

# newdoc id = p02/d2269
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Her dog isn't very fast.
Her	Her	HAS
dog	dog	CON
is	is	NOW
n't	n't	NOT
very	very	INT
fast	fast	DEG
.	.	NIL

# newdoc id = p02/d2314
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = I am from Tokyo, Japan.
I	I	PRO
am	am	ENS
from	from	REL
Tokyo	Tokyo	GPE
,	,	REL
Japan	Japan	GPE
.	.	NIL

# newdoc id = p02/d2318
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = She gave him the money.
She	She	PRO
gave	gave	EPS
him	him	PRO
the	the	DEF
money	money	CON
.	.	NIL

# newdoc id = p02/d2334
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = There is a water mill above the bridge.
There	There	NIL
is	is	ENS
a	a	DIS
water~mill	water~mill	CON
above	above	REL
the	the	DEF
bridge	bridge	CON
.	.	NIL

# newdoc id = p02/d2340
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = You slept with her?
You	You	PRO
slept	slept	EPS
with	with	REL
her	her	PRO
?	?	QUE

# newdoc id = p02/d2344
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Tom is studying in the library now.
Tom	Tom	PER
is	is	NOW
studying	studying	EXG
in	in	REL
the	the	DEF
library	library	CON
now	now	NOW
.	.	NIL

# newdoc id = p02/d2383
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = A railroad was constructed in this town.
A	A	DIS
railroad	railroad	CON
was	was	PST
constructed	constructed	EXS
in	in	REL
this	this	PRX
town	town	CON
.	.	NIL

# newdoc id = p02/d2389
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = All of us like her.
All	All	AND
of	of	REL
us	us	PRO
like	like	ENS
her	her	PRO
.	.	NIL

# newdoc id = p02/d2390
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = I think Tom is exciting.
I	I	PRO
think	think	ENS
Tom	Tom	PER
is	is	NOW
exciting	exciting	IST
.	.	NIL

# newdoc id = p02/d2419
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Tom is reading a novel by Sidney Sheldon now.
Tom	Tom	PER
is	is	NOW
reading	reading	EXG
a	a	DIS
novel	novel	CON
by	by	REL
Sidney~Sheldon	Sidney~Sheldon	PER
now	now	NOW
.	.	NIL

# newdoc id = p02/d2421
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = I have been a teacher for 15 years.
I	I	PRO
have	have	NOW
been	been	EXT
a	a	DIS
teacher	teacher	ROL
for	for	REL
15	15	QUC
years	years	UOM
.	.	NIL

# newdoc id = p02/d2428
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Tom knew the answer.
Tom	Tom	PER
knew	knew	EPS
the	the	DEF
answer	answer	CON
.	.	NIL

# newdoc id = p02/d2447
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Rosie was allowed to stay up till eleven o'clock.
Rosie	Rosie	PER
was	was	PST
allowed	allowed	EXS
to	to	NIL
stay	stay	EXS
up	up	REL
till	till	REL
eleven~o'clock	eleven~o'clock	CLO
.	.	NIL

# newdoc id = p02/d2461
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = I can't stand those kinds of people.
I	I	PRO
ca	ca	POS
n't	n't	NOT
stand	stand	EXS
those	those	DST
kinds	kinds	CON
of	of	REL
people	people	CON
.	.	NIL

# newdoc id = p02/d2465
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = The sun is above me.
The	The	DEF
sun	sun	CON
is	is	ENS
above	above	REL
me	me	PRO
.	.	NIL

# newdoc id = p02/d2467
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = The boat was tied to the shore by a cable.
The	The	DEF
boat	boat	CON
was	was	PST
tied	tied	EXS
to	to	REL
the	the	DEF
shore	shore	CON
by	by	REL
a	a	DIS
cable	cable	CON
.	.	NIL

# newdoc id = p02/d2472
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = This penguin is really cute.
This	This	PRX
penguin	penguin	CON
is	is	NOW
really	really	INT
cute	cute	IST
.	.	NIL

# newdoc id = p02/d2477
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = I'm always confusing John with Paul.
I	I	PRO
'm	'm	NOW
always	always	AND
confusing	confusing	EXG
John	John	PER
with	with	REL
Paul	Paul	PER
.	.	NIL

# newdoc id = p02/d2479
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Tom hugged Mary.
Tom	Tom	PER
hugged	hugged	EPS
Mary	Mary	PER
.	.	NIL

# newdoc id = p02/d2480
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Tom has been brainwashed.
Tom	Tom	PER
has	has	NOW
been	been	PFT
brainwashed	brainwashed	EXS
.	.	NIL

# newdoc id = p02/d2487
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = The oak tree remained standing after the storm.
The	The	DEF
oak~tree	oak~tree	CON
remained	remained	EPS
standing	standing	EXG
after	after	REL
the	the	DEF
storm	storm	CON
.	.	NIL

# newdoc id = p02/d2495
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Tom is a native speaker of French.
Tom	Tom	PER
is	is	ENS
a	a	DIS
native~speaker	native~speaker	ROL
of	of	REL
French	French	CON
.	.	NIL

# newdoc id = p02/d2505
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = She has fake eyelashes.
She	She	PRO
has	has	ENS
fake	fake	IST
eyelashes	eyelashes	CON
.	.	NIL

# newdoc id = p02/d2508
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = My legs hurt after the long walk.
My	My	HAS
legs	legs	CON
hurt	hurt	ENS
after	after	REL
the	the	DEF
long	long	DEG
walk	walk	CON
.	.	NIL

# newdoc id = p02/d2511
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = The big white dog looks at that cat.
The	The	DEF
big	big	DEG
white	white	COL
dog	dog	CON
looks	looks	ENS
at	at	REL
that	that	DST
cat	cat	CON
.	.	NIL

# newdoc id = p02/d2533
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Tom is extremely motivated.
Tom	Tom	PER
is	is	NOW
extremely	extremely	INT
motivated	motivated	IST
.	.	NIL

# newdoc id = p02/d2534
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Tom plays bass in a rock band.
Tom	Tom	PER
plays	plays	ENS
bass	bass	CON
in	in	REL
a	a	DIS
rock~band	rock~band	CON
.	.	NIL

# newdoc id = p02/d2540
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Tom pointed his finger at Mary.
Tom	Tom	PER
pointed	pointed	EPS
his	his	HAS
finger	finger	CON
at	at	REL
Mary	Mary	PER
.	.	NIL

# newdoc id = p02/d2574
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = She mistook me for my brother.
She	She	PRO
mistook	mistook	EPS
me	me	PRO
for	for	REL
my	my	HAS
brother	brother	ROL
.	.	NIL

# newdoc id = p02/d2592
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = I'm afraid you misunderstood me.
I	I	PRO
'm	'm	NOW
afraid	afraid	IST
you	you	PRO
misunderstood	misunderstood	EPS
me	me	PRO
.	.	NIL

# newdoc id = p02/d2631
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = He lost his favorite sweatshirt.
He	He	PRO
lost	lost	EPS
his	his	HAS
favorite	favorite	TOP
sweatshirt	sweatshirt	CON
.	.	NIL

# newdoc id = p02/d2635
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = She forgot to bring her swimsuit.
She	She	PRO
forgot	forgot	EPS
to	to	NIL
bring	bring	EXS
her	her	HAS
swimsuit	swimsuit	CON
.	.	NIL

# newdoc id = p02/d2639
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Tom and Mary played chess.
Tom	Tom	PER
and	and	GRP
Mary	Mary	PER
played	played	EPS
chess	chess	CON
.	.	NIL

# newdoc id = p02/d2659
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Who talked?
Who	Who	QUE
talked	talked	EPS
?	?	QUE

# newdoc id = p02/d2673
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Tom gave Mary plenty of money.
Tom	Tom	PER
gave	gave	EPS
Mary	Mary	PER
plenty	plenty	QUV
of	of	REL
money	money	CON
.	.	NIL

# newdoc id = p02/d2690
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Tom is grilling meat.
Tom	Tom	PER
is	is	NOW
grilling	grilling	EXG
meat	meat	CON
.	.	NIL

# newdoc id = p02/d2723
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = I was abducted by extraterrestrials.
I	I	PRO
was	was	PST
abducted	abducted	EXS
by	by	REL
extraterrestrials	extraterrestrials	CON
.	.	NIL

# newdoc id = p02/d2729
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Tom opened the door for her.
Tom	Tom	PER
opened	opened	EPS
the	the	DEF
door	door	CON
for	for	REL
her	her	PRO
.	.	NIL

# newdoc id = p02/d2758
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Whose handbag is this?
Whose	Whose	HAS
handbag	handbag	CON
is	is	ENS
this	this	PRX
?	?	QUE

# newdoc id = p02/d2775
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Our team beat the Lions 3 to 0.
Our	Our	HAS
team	team	CON
beat	beat	EPS
the	the	DEF
Lions	Lions	ORG
3~to~0	3~to~0	SCO
.	.	NIL

# newdoc id = p02/d2785
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Ontogeny recapitulates phylogeny.
Ontogeny	Ontogeny	CON
recapitulates	recapitulates	ENS
phylogeny	phylogeny	CON
.	.	NIL

# newdoc id = p02/d2790
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Her watch is ten minutes slow.
Her	Her	HAS
watch	watch	CON
is	is	NOW
ten	ten	QUC
minutes	minutes	UOM
slow	slow	IST
.	.	NIL

# newdoc id = p02/d2799
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = She has no brothers.
She	She	PRO
has	has	ENS
no	no	NOT
brothers	brothers	ROL
.	.	NIL

# newdoc id = p02/d2808
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Tom is conscious now.
Tom	Tom	PER
is	is	NOW
conscious	conscious	IST
now	now	NOW
.	.	NIL

# newdoc id = p02/d2818
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = I think Tom is aggressive.
I	I	PRO
think	think	ENS
Tom	Tom	PER
is	is	NOW
aggressive	aggressive	IST
.	.	NIL

# newdoc id = p02/d2820
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = The greengrocer is very kind to his customers.
The	The	DEF
greengrocer	greengrocer	ROL
is	is	NOW
very	very	INT
kind	kind	IST
to	to	REL
his	his	HAS
customers	customers	ROL
.	.	NIL

# newdoc id = p02/d2827
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = I'll eat an apple.
I	I	PRO
'll	'll	FUT
eat	eat	EXS
an	an	DIS
apple	apple	CON
.	.	NIL

# newdoc id = p02/d2843
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Tom took out his handkerchief and blew his nose.
Tom	Tom	PER
took	took	EPS
out	out	REL
his	his	HAS
handkerchief	handkerchief	CON
and	and	COO
blew	blew	EPS
his	his	HAS
nose	nose	CON
.	.	NIL

# newdoc id = p02/d2846
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = I suffer from asthma.
I	I	PRO
suffer	suffer	ENS
from	from	REL
asthma	asthma	CON
.	.	NIL

# newdoc id = p02/d2851
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = The final score of the game was 3 to 1.
The	The	DEF
final	final	IST
score	score	CON
of	of	REL
the	the	DEF
game	game	CON
was	was	EPS
3~to~1	3~to~1	SCO
.	.	NIL

# newdoc id = p02/d2852
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = The tines of the fork are bent.
The	The	DEF
tines	tines	CON
of	of	REL
the	the	DEF
fork	fork	CON
are	are	NOW
bent	bent	IST
.	.	NIL

# newdoc id = p02/d2856
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Some animals, as tigers, eat meat.
Some	Some	DIS
animals	animals	CON
,	,	NIL
as	as	REL
tigers	tigers	CON
,	,	NIL
eat	eat	EXS
meat	meat	CON
.	.	NIL

# newdoc id = p02/d2868
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = The word processor on the desk is my father's.
The	The	DEF
word~processor	word~processor	CON
on	on	REL
the	the	DEF
desk	desk	CON
is	is	ENS
my	my	HAS
father	father	ROL
's	's	HAS
.	.	NIL

# newdoc id = p02/d2884
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = I cannot forget Taninna's face.
I	I	PRO
can	can	POS
not	not	NOT
forget	forget	EXS
Taninna	Taninna	PER
's	's	HAS
face	face	CON
.	.	NIL

# newdoc id = p02/d2886
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Something was bothering him.
Something	Something	DIS
was	was	PST
bothering	bothering	EXG
him	him	PRO
.	.	NIL

# newdoc id = p02/d2889
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = I'm a little hungry.
I	I	PRO
'm	'm	NOW
a	a	DIS
little	little	QUV
hungry	hungry	IST
.	.	NIL

# newdoc id = p02/d2893
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = He flew to New York on business.
He	He	PRO
flew	flew	EPS
to	to	REL
New~York	New~York	GPE
on	on	REL
business	business	CON
.	.	NIL

# newdoc id = p02/d2896
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = I understand you.
I	I	PRO
understand	understand	ENS
you	you	PRO
.	.	NIL

# newdoc id = p02/d2916
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Ken's dog is white.
Ken	Ken	PER
's	's	HAS
dog	dog	CON
is	is	NOW
white	white	COL
.	.	NIL

# newdoc id = p02/d2939
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Ireland is called "Ireland" in English.
Ireland	Ireland	GPE
is	is	NOW
called	called	EXS
"	"	NIL
Ireland	Ireland	LIT
"	"	NIL
in	in	REL
English	English	CON
.	.	NIL

# newdoc id = p02/d2943
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = I hate her hat.
I	I	PRO
hate	hate	ENS
her	her	HAS
hat	hat	CON
.	.	NIL

# newdoc id = p02/d2962
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Their family name is written on their mailbox.
Their	Their	HAS
family~name	family~name	CON
is	is	NOW
written	written	EXS
on	on	REL
their	their	HAS
mailbox	mailbox	CON
.	.	NIL

# newdoc id = p02/d2967
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = I like chocolate ice cream.
I	I	PRO
like	like	ENS
chocolate~ice~cream	chocolate~ice~cream	CON
.	.	NIL

# newdoc id = p02/d2972
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = I found her kind.
I	I	PRO
found	found	EPS
her	her	PRO
kind	kind	IST
.	.	NIL

# newdoc id = p02/d2978
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = I amused myself.
I	I	PRO
amused	amused	EPS
myself	myself	REF
.	.	NIL

# newdoc id = p02/d3004
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Tom was misbehaving.
Tom	Tom	PER
was	was	PST
misbehaving	misbehaving	EXG
.	.	NIL

# newdoc id = p02/d3016
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = What part of Betty Grable's anatomy was famously insured for $1,000,000?
What	What	QUE
part	part	CON
of	of	REL
Betty~Grable	Betty~Grable	PER
's	's	HAS
anatomy	anatomy	CON
was	was	PST
famously	famously	IST
insured	insured	EXS
for	for	REL
$	$	UOM
1,000,000	1,000,000	QUC
?	?	QUE

# newdoc id = p02/d3017
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = The famous conductor lives in New York.
The	The	DEF
famous	famous	IST
conductor	conductor	ROL
lives	lives	ENS
in	in	REL
New~York	New~York	GPE
.	.	NIL

# newdoc id = p02/d3049
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = The name of this statesman is known to everybody in Japan.
The	The	DEF
name	name	CON
of	of	REL
this	this	PRX
statesman	statesman	ROL
is	is	NOW
known	known	EXS
to	to	REL
every	every	AND
body	body	CON
in	in	REL
Japan	Japan	GPE
.	.	NIL

# newdoc id = p02/d3054
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = I caught three fish yesterday.
I	I	PRO
caught	caught	EPS
three	three	QUC
fish	fish	CON
yesterday	yesterday	PST
.	.	NIL

# newdoc id = p02/d3068
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = She has been studying French for a few years.
She	She	PRO
has	has	NOW
been	been	PFT
studying	studying	EXG
French	French	CON
for	for	REL
a	a	DIS
few	few	QUV
years	years	UOM
.	.	NIL

# newdoc id = p02/d3082
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = The thief told the police he hadn't stolen anything.
The	The	DEF
thief	thief	ROL
told	told	EPS
the	the	DEF
police	police	CON
he	he	PRO
had	had	PST
n't	n't	NOT
stolen	stolen	EXT
anything	anything	DIS
.	.	NIL

# newdoc id = p02/d3090
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = The plane took off.
The	The	DEF
plane	plane	CON
took	took	EPS
off	off	REL
.	.	NIL

# newdoc id = p02/d3148
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = He designed the car.
He	He	PRO
designed	designed	EPS
the	the	DEF
car	car	CON
.	.	NIL

# newdoc id = p02/d3151
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = I know where you are.
I	I	PRO
know	know	ENS
where	where	QUE
you	you	PRO
are	are	ENS
.	.	NIL

# newdoc id = p02/d3156
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = I will call you up, provided that I have time.
I	I	PRO
will	will	FUT
call	call	EXS
you	you	PRO
up	up	REL
,	,	NIL
provided	provided	IMP
that	that	SUB
I	I	PRO
have	have	ENS
time	time	CON
.	.	NIL

# newdoc id = p02/d3182
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Tom plays the drums as well as the organ.
Tom	Tom	PER
plays	plays	ENS
the	the	DEF
drums	drums	CON
as~well~as	as~well~as	AND
the	the	DEF
organ	organ	CON
.	.	NIL

# newdoc id = p02/d3222
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Tom is angry at you, isn't he?
Tom	Tom	PER
is	is	NOW
angry	angry	IST
at	at	REL
you	you	PRO
,	,	NIL
is	is	NOW
n't	n't	NOT
he	he	PRO
?	?	QUE

# newdoc id = p02/d3245
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = At five o'clock we drink tea.
At	At	REL
five~o'clock	five~o'clock	CLO
we	we	PRO
drink	drink	ENS
tea	tea	CON
.	.	NIL

# newdoc id = p02/d3264
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Tom looked sad and disappointed.
Tom	Tom	PER
looked	looked	EPS
sad	sad	IST
and	and	COO
disappointed	disappointed	IST
.	.	NIL

# newdoc id = p02/d3273
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Tom and Mary were both born in Boston.
Tom	Tom	PER
and	and	GRP
Mary	Mary	PER
were	were	PST
both	both	AND
born	born	EXS
in	in	REL
Boston	Boston	GPE
.	.	NIL

# newdoc id = p02/d3279
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Sadako Sasaki died on October 25, 1955.
